Date,EUROSTOXX50,S&P500
2016-12-15,3249.739990234375,2262.030029296875
2016-12-16,3259.239990234375,2258.070068359375
2016-12-19,3257.85009765625,2262.530029296875
2016-12-20,3279.409912109375,2270.760009765625
2016-12-21,3270.75,2265.179931640625
2016-12-22,3269.510009765625,2260.9599609375
2016-12-23,3273.969970703125,2263.7900390625
2016-12-27,3278.530029296875,2268.8798828125
2016-12-28,3278.719970703125,2249.919921875
2016-12-29,3271.760009765625,2249.260009765625
2016-12-30,3290.52001953125,2238.830078125
2017-01-03,3315.02001953125,2257.830078125
2017-01-04,3317.52001953125,2270.75
2017-01-05,3316.469970703125,2269.0
2017-01-06,3321.169921875,2276.97998046875
2017-01-09,3308.969970703125,2268.89990234375
2017-01-10,3306.2099609375,2268.89990234375
2017-01-11,3307.93994140625,2275.320068359375
2017-01-12,3286.699951171875,2270.43994140625
2017-01-13,3324.340087890625,2274.639892578125
2017-01-17,3285.0400390625,2267.889892578125
2017-01-18,3294.0,2271.889892578125
2017-01-19,3290.330078125,2263.68994140625
2017-01-20,3299.43994140625,2271.31005859375
2017-01-23,3273.0400390625,2265.199951171875
2017-01-24,3281.530029296875,2280.070068359375
2017-01-25,3326.14990234375,2298.3701171875
2017-01-26,3319.1298828125,2296.679931640625
2017-01-27,3303.330078125,2294.68994140625
2017-01-30,3262.719970703125,2280.89990234375
2017-01-31,3230.679931640625,2278.8701171875
2017-02-01,3258.919921875,2279.550048828125
2017-02-02,3253.610107421875,2280.85009765625
2017-02-03,3273.110107421875,2297.419921875
2017-02-06,3238.31005859375,2292.56005859375
2017-02-07,3235.7099609375,2293.080078125
2017-02-08,3238.0400390625,2294.669921875
2017-02-09,3277.7900390625,2307.8701171875
2017-02-10,3270.830078125,2316.10009765625
2017-02-13,3305.22998046875,2328.25
2017-02-14,3308.889892578125,2337.580078125
2017-02-15,3323.7099609375,2349.25
2017-02-16,3311.0400390625,2347.219970703125
2017-02-17,3308.81005859375,2351.159912109375
2017-02-21,3339.330078125,2365.3798828125
2017-02-22,3339.27001953125,2362.820068359375
2017-02-23,3333.9599609375,2363.81005859375
2017-02-24,3304.090087890625,2367.340087890625
2017-02-27,3309.300048828125,2369.75
2017-02-28,3319.610107421875,2363.639892578125
2017-03-01,3390.199951171875,2395.9599609375
2017-03-02,3384.7099609375,2381.919921875
2017-03-03,3403.389892578125,2383.1201171875
2017-03-06,3387.4599609375,2375.31005859375
2017-03-07,3385.1201171875,2368.389892578125
2017-03-08,3389.6201171875,2362.97998046875
2017-03-09,3409.889892578125,2364.8701171875
2017-03-10,3416.27001953125,2372.60009765625
2017-03-13,3415.489990234375,2373.469970703125
2017-03-14,3399.429931640625,2365.449951171875
2017-03-15,3409.320068359375,2385.260009765625
2017-03-16,3439.9599609375,2381.3798828125
2017-03-17,3448.409912109375,2378.25
2017-03-20,3437.47998046875,2373.469970703125
2017-03-21,3429.6201171875,2344.02001953125
2017-03-22,3420.699951171875,2348.449951171875
2017-03-23,3452.179931640625,2345.9599609375
2017-03-24,3444.14990234375,2343.97998046875
2017-03-27,3437.139892578125,2341.590087890625
2017-03-28,3465.070068359375,2358.570068359375
2017-03-29,3475.27001953125,2361.1298828125
2017-03-30,3481.580078125,2368.06005859375
2017-03-31,3500.929931640625,2362.719970703125
2017-04-03,3472.93994140625,2358.840087890625
2017-04-04,3481.659912109375,2360.159912109375
2017-04-05,3472.580078125,2352.949951171875
2017-04-06,3489.570068359375,2357.489990234375
2017-04-07,3495.800048828125,2355.5400390625
2017-04-10,3480.43994140625,2357.159912109375
2017-04-11,3470.0400390625,2353.780029296875
2017-04-12,3468.510009765625,2344.929931640625
2017-04-13,3448.260009765625,2328.949951171875
2017-04-18,3409.780029296875,2342.18994140625
2017-04-19,3420.989990234375,2338.169921875
2017-04-20,3440.030029296875,2355.840087890625
2017-04-21,3440.27001953125,2348.68994140625
2017-04-24,3577.3798828125,2374.14990234375
2017-04-25,3583.159912109375,2388.610107421875
2017-04-26,3578.7099609375,2387.449951171875
2017-04-27,3563.2900390625,2388.77001953125
2017-04-28,3559.590087890625,2384.199951171875
2017-05-02,3578.2099609375,2391.169921875
2017-05-03,3586.25,2388.1298828125
2017-05-04,3627.8798828125,2389.52001953125
2017-05-05,3658.7900390625,2399.2900390625
2017-05-08,3642.110107421875,2399.3798828125
2017-05-09,3649.080078125,2396.919921875
2017-05-10,3645.739990234375,2399.6298828125
2017-05-11,3623.550048828125,2394.43994140625
2017-05-12,3637.52001953125,2390.89990234375
2017-05-15,3641.8798828125,2402.320068359375
2017-05-16,3641.889892578125,2400.669921875
2017-05-17,3584.830078125,2357.030029296875
2017-05-18,3562.219970703125,2365.719970703125
2017-05-19,3587.010009765625,2381.72998046875
2017-05-22,3576.530029296875,2394.02001953125
2017-05-23,3595.030029296875,2398.419921875
2017-05-24,3586.6201171875,2404.389892578125
2017-05-26,3579.02001953125,2415.820068359375
2017-05-30,3561.219970703125,2412.909912109375
2017-05-31,3554.590087890625,2411.800048828125
2017-06-01,3567.02001953125,2430.06005859375
2017-06-02,3591.820068359375,2439.070068359375
2017-06-06,3554.179931640625,2429.330078125
2017-06-07,3548.840087890625,2433.139892578125
2017-06-08,3563.8798828125,2433.7900390625
2017-06-09,3586.070068359375,2431.77001953125
2017-06-12,3543.949951171875,2429.389892578125
2017-06-13,3557.8701171875,2440.35009765625
2017-06-14,3547.14990234375,2437.919921875
2017-06-15,3525.4599609375,2432.4599609375
2017-06-16,3543.8798828125,2433.14990234375
2017-06-19,3579.580078125,2453.4599609375
2017-06-20,3560.659912109375,2437.030029296875
2017-06-21,3554.35009765625,2435.610107421875
2017-06-22,3555.760009765625,2434.5
2017-06-23,3543.679931640625,2438.300048828125
2017-06-26,3561.760009765625,2439.070068359375
2017-06-27,3538.320068359375,2419.3798828125
2017-06-28,3535.699951171875,2440.68994140625
2017-06-29,3471.330078125,2419.699951171875
2017-06-30,3441.8798828125,2423.409912109375
2017-07-03,3491.81005859375,2429.010009765625
2017-07-05,3478.409912109375,2432.5400390625
2017-07-06,3462.06005859375,2409.75
2017-07-07,3463.840087890625,2425.179931640625
2017-07-10,3478.06005859375,2427.429931640625
2017-07-11,3464.47998046875,2425.530029296875
2017-07-12,3515.22998046875,2443.25
2017-07-13,3527.830078125,2447.830078125
2017-07-14,3525.93994140625,2459.27001953125
2017-07-17,3516.35009765625,2459.139892578125
2017-07-18,3478.679931640625,2460.610107421875
2017-07-19,3500.280029296875,2473.830078125
2017-07-20,3499.489990234375,2473.449951171875
2017-07-21,3451.7099609375,2472.5400390625
2017-07-24,3453.169921875,2469.909912109375
2017-07-25,3473.5400390625,2477.1298828125
2017-07-26,3491.18994140625,2477.830078125
2017-07-27,3493.139892578125,2475.419921875
2017-07-28,3467.72998046875,2472.10009765625
2017-07-31,3449.360107421875,2470.300048828125
2017-08-02,3459.320068359375,2477.570068359375
2017-08-03,3466.3701171875,2472.159912109375
2017-08-04,3507.409912109375,2476.830078125
2017-08-07,3505.800048828125,2480.909912109375
2017-08-08,3515.6298828125,2474.919921875
2017-08-09,3468.449951171875,2474.02001953125
2017-08-10,3433.5400390625,2438.2099609375
2017-08-11,3406.340087890625,2441.320068359375
2017-08-14,3450.659912109375,2465.840087890625
2017-08-15,3461.909912109375,2464.610107421875
2017-08-16,3484.570068359375,2468.110107421875
2017-08-17,3461.969970703125,2430.010009765625
2017-08-18,3446.030029296875,2425.550048828125
2017-08-21,3423.530029296875,2428.3701171875
2017-08-22,3455.590087890625,2452.510009765625
2017-08-23,3438.6298828125,2444.0400390625
2017-08-24,3444.72998046875,2438.969970703125
2017-08-25,3438.550048828125,2443.050048828125
2017-08-28,3421.030029296875,2444.239990234375
2017-08-29,3388.219970703125,2446.300048828125
2017-08-30,3403.7099609375,2457.590087890625
2017-08-31,3421.469970703125,2471.64990234375
2017-09-01,3443.8798828125,2476.550048828125
2017-09-05,3420.860107421875,2457.85009765625
2017-09-06,3433.800048828125,2465.5400390625
2017-09-07,3447.659912109375,2465.10009765625
2017-09-08,3447.68994140625,2461.429931640625
2017-09-11,3495.18994140625,2488.110107421875
2017-09-12,3512.56005859375,2496.47998046875
2017-09-13,3523.139892578125,2498.3701171875
2017-09-14,3526.47998046875,2495.6201171875
2017-09-15,3515.550048828125,2500.22998046875
2017-09-18,3526.739990234375,2503.8701171875
2017-09-19,3531.179931640625,2506.64990234375
2017-09-20,3525.550048828125,2508.239990234375
2017-09-21,3539.590087890625,2500.60009765625
2017-09-22,3541.419921875,2502.219970703125
2017-09-25,3537.81005859375,2496.659912109375
2017-09-26,3536.3798828125,2496.840087890625
