"Low Carbon and Renewable Energy Economy (LCREE) estimates, employment by low carbon sector industry, UK, 2014 to 2018 (all industries)",
,
year,estimate
2014,"235,900"
2015,"200,500"
2016,"210,200"
2017,"217,200"
2018,"215,800"
2019,"202,100"
