,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA,MA Difference,TMA Difference
0,^GSPC,2003-09-18,2,23.950301747200047,20.233922507513775,21.249858691448594,3.7163792396862725,2.700443055751453
1,^GSPC,2004-09-16,3,15.065871930588653,17.96211705696345,20.382792373106348,-2.8962451263747973,-5.316920442517695
2,^GSPC,2004-08-13,4,16.446446072112394,21.157196608533212,19.375113669464618,-4.710750536420818,-2.9286675973522236
3,^GSPC,2004-09-16,3,15.065871930588653,17.96211705696345,20.382792373106348,-2.8962451263747973,-5.316920442517695
4,^GSPC,2005-08-29,3,20.55546561257536,17.848862593973184,16.94722355636341,2.706603018602177,3.6082420562119495
5,^GSPC,2005-08-25,3,13.433363021847073,18.01098806804159,17.388074676773094,-4.577625046194518,-3.9547116549260206
6,^GSPC,2005-10-24,3,26.64583055820725,20.682744438677926,17.814807610890604,5.963086119529326,8.831022947316647
7,^GSPC,2005-08-29,3,20.55546561257536,17.848862593973184,16.94722355636341,2.706603018602177,3.6082420562119495
8,^GSPC,2005-08-29,3,20.55546561257536,17.848862593973184,16.94722355636341,2.706603018602177,3.6082420562119495
9,^GSPC,2016-10-07,2,19.747818232306443,19.191766126561646,17.918695744016738,0.5560521057447971,1.8291224882897055
30,^GSPC,1964-08-27,2,20.674225325817172,21.309700480653472,21.915684881921074,-0.6354751548362998,-1.2414595561039015
31,^GSPC,1964-09-10,2,20.836863746499425,20.290492588636777,21.44303942627262,0.546371157862648,-0.6061756797731945
32,^GSPC,1964-10-14,2,19.305623549885944,21.08830825859809,21.053171934601277,-1.7826847087121465,-1.7475483847153335
33,^GSPC,1965-09-08,3,22.993633263659774,20.9510382027611,21.811433726777842,2.042595060898673,1.1821995368819316
34,^GSPC,1965-09-10,3,26.156117970998803,21.122872389430142,21.440480987353492,5.033245581568661,4.715636983645311
35,^GSPC,1966-06-09,2,26.65305254739863,27.78198638083885,28.592884684538213,-1.1289338334402181,-1.9398321371395824
36,^GSPC,1966-06-13,3,25.99631098851477,27.68670483208526,29.107234349186932,-1.6903938435704866,-3.1109233606721602
37,^GSPC,1967-09-20,3,25.08606336648281,25.048920603233423,24.95294855473968,0.037142763249388366,0.13311481174313045
38,^GSPC,1969-08-18,5,25.808157093889953,30.261110648362504,28.69530929518829,-4.4529535544725505,-2.8871522012983384
39,^GSPC,1970-08-03,3,31.70543094128644,31.92451372451856,34.6388919601209,-0.21908278323212116,-2.9334610188344605
40,^GSPC,1971-09-16,2,22.8372158364226,26.346785452904182,28.357669283332196,-3.5095696164815813,-5.520453446909595
41,^GSPC,1975-09-23,3,30.199622374047063,30.162028215367226,29.719947648700554,0.03759415867983762,0.47967472534650923
42,^GSPC,1976-08-10,3,24.42862652183342,23.22455190548905,24.413760167080703,1.2040746163443679,0.014866354752715694
43,^GSPC,1979-09-13,3,23.637007706046035,24.772373318794838,24.52003049985496,-1.135365612748803,-0.8830227938089266
44,^GSPC,1979-09-04,2,30.218828343663173,24.269022518970093,24.25696358295076,5.94980582469308,5.9618647607124124
45,^GSPC,1979-09-13,3,23.637007706046035,24.772373318794838,24.52003049985496,-1.135365612748803,-0.8830227938089266
46,^GSPC,1979-09-04,2,30.218828343663173,24.269022518970093,24.25696358295076,5.94980582469308,5.9618647607124124
47,^GSPC,1983-08-18,3,24.326477036717854,22.315985197656204,20.443037368827312,2.0104918390616504,3.883439667890542
48,^GSPC,1984-09-13,2,29.60200717624594,18.86616926968159,24.40603048705515,10.735837906564353,5.19597668919079
49,^GSPC,1985-11-21,2,22.187139472428182,17.396369224313144,17.160786163967405,4.790770248115038,5.026353308460777
50,^GSPC,1989-09-22,4,15.423664588551947,18.81626822865964,19.87537387492194,-3.392603640107694,-4.451709286369994
51,^GSPC,1991-08-19,2,40.249951934019975,18.254896090601637,19.747327442547782,21.99505584341834,20.502624491472194
52,^GSPC,1991-08-19,2,40.249951934019975,18.254896090601637,19.747327442547782,21.99505584341834,20.502624491472194
53,^GSPC,1991-08-19,2,40.249951934019975,18.254896090601637,19.747327442547782,21.99505584341834,20.502624491472194
54,^GSPC,1991-08-19,3,40.249951934019975,18.254896090601637,19.747327442547782,21.99505584341834,20.502624491472194
55,^GSPC,1992-08-24,5,21.46842653205739,17.35620314033211,17.976961194684655,4.11222339172528,3.491465337372734
56,^GSPC,1992-08-26,3,17.474425780988625,17.880499156901095,17.308704767342675,-0.40607337591247017,0.1657210136459497
57,^GSPC,1992-09-11,4,13.453529680980804,17.05016361696111,16.846079577934955,-3.5966339359803072,-3.3925498969541508
58,^GSPC,1993-08-31,3,14.908880356146751,15.481324011569816,15.861806075617691,-0.572443655423065,-0.9529257194709402
59,^GSPC,1995-08-03,2,18.446423509191998,19.037637051499047,17.563507197424958,-0.5912135423070488,0.8829163117670404
60,^GSPC,1995-10-04,3,14.181636843944936,16.747391655304142,15.957549611263278,-2.5657548113592057,-1.7759127673183421
61,^GSPC,1996-07-12,2,21.53859916062149,18.94655118710519,19.050220702985946,2.5920479735163013,2.4883784576355445
62,^GSPC,1996-09-06,3,23.413404760466708,17.545046156640986,21.071696735627995,5.8683586038257225,2.341708024838713
63,^GSPC,1998-09-25,2,32.495913591883046,41.899275351292715,35.00551798037145,-9.40336175940967,-2.5096043884884054
64,^GSPC,1998-09-29,2,25.67611067069749,41.006427896821506,37.59554836159498,-15.330317226124016,-11.919437690897489
65,^GSPC,1998-08-27,2,53.90607754036769,29.115751575447987,25.973479077516554,24.790325964919703,27.932598462851136
