,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA,MA Difference,TMA Difference
0,^FCHI,2003-09-18,2,21.23386416623931,23.22075119880159,24.46099010909166,-1.9868870325622794,-3.22712594285235
1,^FCHI,2004-09-16,3,17.142382982380006,18.335107094031436,21.646314829481156,-1.1927241116514296,-4.50393184710115
2,^FCHI,2004-08-13,4,20.067824211670672,21.175001339792168,19.172054093339657,-1.1071771281214957,0.8957701183310149
3,^FCHI,2004-09-16,3,17.142382982380006,18.335107094031436,21.646314829481156,-1.1927241116514296,-4.50393184710115
4,^FCHI,2005-08-29,3,21.731471255059454,18.361990119516904,17.9194688011007,3.36948113554255,3.8120024539587547
5,^FCHI,2005-08-25,3,16.274298703408153,17.962024126352645,19.71774060874101,-1.6877254229444922,-3.4434419053328575
6,^FCHI,2005-10-24,3,23.48478832879859,18.701286175248704,17.71835585382214,4.783502153549886,5.766432474976451
7,^FCHI,2005-08-29,3,21.731471255059454,18.361990119516904,17.9194688011007,3.36948113554255,3.8120024539587547
8,^FCHI,2005-08-29,3,21.731471255059454,18.361990119516904,17.9194688011007,3.36948113554255,3.8120024539587547
9,^FCHI,2008-09-01,2,22.28463577212171,27.46397252920568,29.2624896699524,-5.17933675708397,-6.977853897830691
10,^FCHI,2014-07-04,2,14.650198974231074,18.525285970054156,17.59071661789998,-3.8750869958230822,-2.9405176436689047
11,^FCHI,2016-10-07,2,19.59757074679505,23.205231145321356,22.638998494298562,-3.6076603985263063,-3.041427747503512
12,^FCHI,1991-08-19,2,45.723774471184825,16.975596262892093,19.767714549868156,28.74817820829273,25.95605992131667
13,^FCHI,1991-08-19,2,45.723774471184825,16.975596262892093,19.767714549868156,28.74817820829273,25.95605992131667
14,^FCHI,1991-08-19,2,45.723774471184825,16.975596262892093,19.767714549868156,28.74817820829273,25.95605992131667
15,^FCHI,1991-08-19,3,45.723774471184825,16.975596262892093,19.767714549868156,28.74817820829273,25.95605992131667
16,^FCHI,1992-08-24,5,35.038190021666516,24.80703604535444,25.84074932467949,10.231153976312076,9.197440696987027
17,^FCHI,1992-08-26,3,28.98922834597151,26.48005238878258,25.955998780165515,2.5091759571889334,3.0332295658059962
18,^FCHI,1992-09-11,4,27.229832875797282,27.122429292127993,24.80703604535444,0.1074035836692886,2.4227968304428416
19,^FCHI,1993-08-31,3,21.355601507843264,21.777862187905747,24.151121094553424,-0.4222606800624824,-2.79551958671016
20,^FCHI,1995-08-03,2,19.52477248167078,21.435541085248662,22.60478767353336,-1.910768603577882,-3.0800151918625787
21,^FCHI,1995-10-04,3,22.465927358549944,25.270003976883512,22.23106680992625,-2.8040766183335677,0.23486054862369343
22,^FCHI,1996-07-12,2,19.96088506772365,17.940681450048608,18.64910182408774,2.0202036176750404,1.311783243635908
23,^FCHI,1996-09-06,3,27.206313952080308,18.282968166567606,20.395693106604536,8.923345785512701,6.810620845475771
24,^FCHI,1998-09-25,2,36.04783730813958,40.79309031866642,34.9385674869229,-4.745253010526845,1.109269821216678
25,^FCHI,1998-09-29,2,35.32503723886648,39.80779665920499,35.81099159831813,-4.48275942033851,-0.4859543594516538
26,^FCHI,1998-08-27,2,38.58461784582253,30.090426893996426,24.31793374316347,8.494190951826102,14.26668410265906
27,^FCHI,1999-09-16,2,20.941557924861442,23.530387438008436,25.593045656494972,-2.588829513146994,-4.65148773163353
28,^FCHI,1999-10-18,2,23.120406195217825,23.33783816096938,22.95427572592153,-0.21743196575155466,0.16613046929629505
29,^FCHI,1999-08-23,3,22.021854718198334,25.52724075860172,25.139609812095937,-3.505386040403387,-3.1177550938976033
30,^FCHI,1999-09-16,4,20.941557924861442,23.530387438008436,25.593045656494972,-2.588829513146994,-4.65148773163353
