,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA,MA Difference,TMA Difference
0,^N225,2003-09-18,2,28.04502763245017,24.41958730475923,24.43070387820419,3.625440327690942,3.61432375424598
1,^N225,2004-09-16,3,17.88951797876493,20.653441517577875,21.561228391935497,-2.7639235388129464,-3.671710413170569
2,^N225,2004-08-13,4,23.518437450266386,22.140186030083317,21.329670255336346,1.3782514201830693,2.1887671949300405
3,^N225,2004-09-16,3,17.88951797876493,20.653441517577875,21.561228391935497,-2.7639235388129464,-3.671710413170569
4,^N225,2005-08-29,3,19.078919008561485,18.499557546311923,16.50553128567025,0.5793614622495618,2.5733877228912334
5,^N225,2005-08-25,3,15.267775995114238,18.335164475747945,15.654759905980242,-3.0673884806337064,-0.3869839108660038
6,^N225,2005-10-24,3,22.245867680843617,22.726431559901286,18.80761470749795,-0.4805638790576694,3.4382529733456657
7,^N225,2005-08-29,3,19.078919008561485,18.499557546311923,16.50553128567025,0.5793614622495618,2.5733877228912334
8,^N225,2005-08-29,3,19.078919008561485,18.499557546311923,16.50553128567025,0.5793614622495618,2.5733877228912334
9,^N225,2008-09-01,2,18.25382995540198,24.332165010169756,24.978665330467244,-6.078335054767777,-6.724835375065265
10,^N225,2014-07-04,2,14.548612294762487,19.624558812376556,19.042068314971395,-5.075946517614069,-4.493456020208908
11,^N225,2016-10-07,2,14.44426293088591,19.46297986169749,18.023496308110246,-5.01871693081158,-3.5792333772243357
35,^N225,1989-09-22,4,13.813880905574456,16.775281622318417,16.079012572374104,-2.9614007167439613,-2.2651316667996486
36,^N225,1991-08-19,2,69.8557411562476,23.94255452595641,28.519898795069615,45.91318663029119,41.33584236117799
37,^N225,1991-08-19,2,69.8557411562476,23.94255452595641,28.519898795069615,45.91318663029119,41.33584236117799
38,^N225,1991-08-19,2,69.8557411562476,23.94255452595641,28.519898795069615,45.91318663029119,41.33584236117799
39,^N225,1991-08-19,3,69.8557411562476,23.94255452595641,28.519898795069615,45.91318663029119,41.33584236117799
40,^N225,1992-08-24,5,70.9643187390032,40.53314897188352,35.695775060935,30.431169767119684,35.268543678068205
41,^N225,1992-08-26,3,30.05050154074805,41.203224778082685,36.36190008947522,-11.152723237334634,-6.311398548727169
42,^N225,1992-09-11,4,53.52919533968303,44.367101925008214,40.53314897188352,9.162093414674814,12.996046367799508
43,^N225,1993-08-31,3,19.489509940386007,20.865052761163106,21.144112073035416,-1.375542820777099,-1.6546021326494085
44,^N225,1995-08-03,2,31.253106828307534,33.32282905405139,33.85876363135822,-2.069722225743856,-2.605656803050689
45,^N225,1995-10-04,3,25.952177376709177,29.159346247932778,29.58539382432639,-3.207168871223601,-3.6332164476172117
46,^N225,1996-07-12,2,21.464853519512214,19.43400863060929,20.44705948866065,2.030844888902923,1.0177940308515652
47,^N225,1996-09-06,3,21.966839241870566,21.656935761705057,23.31532651206664,0.3099034801655094,-1.348487270196074
48,^N225,1998-09-25,2,37.35618076915805,38.72766169704143,30.451448744748312,-1.3714809278833755,6.904732024409739
49,^N225,1998-09-29,2,39.03651836725911,40.24078876398981,30.144144388967295,-1.2042703967306991,8.892373978291818
50,^N225,1998-08-27,2,38.50163460708673,25.216715955922805,24.177486005524457,13.284918651163924,14.324148601562271
51,^N225,1999-09-16,2,47.157698454382675,24.215705457268797,25.296051042604127,22.94199299711388,21.86164741177855
52,^N225,1999-10-18,2,31.56840161293313,28.729547723354028,28.029201019268015,2.8388538895791022,3.5392005936651145
53,^N225,1999-08-23,3,23.782778490479288,24.665754837157596,24.229035655312487,-0.8829763466783085,-0.44625716483319877
54,^N225,1999-09-16,4,47.157698454382675,24.215705457268797,25.296051042604127,22.94199299711388,21.86164741177855
