,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA,MA Difference,TMA Difference
0,000001.SS,2003-09-18,2,18.494220707046303,20.347149300990626,18.918685414751977,-1.8529285939443234,-0.424464707705674
1,000001.SS,2004-09-16,3,27.414630441290136,27.286814471112393,25.160122765880487,0.1278159701777426,2.2545076754096485
2,000001.SS,2004-08-13,4,24.25450664829751,26.896094038496603,27.301304246012485,-2.641587390199092,-3.046797597714974
3,000001.SS,2004-09-16,3,27.414630441290136,27.286814471112393,25.160122765880487,0.1278159701777426,2.2545076754096485
4,000001.SS,2005-08-29,3,30.75915334763763,28.603795352881143,28.439301459019763,2.1553579947564856,2.3198518886178654
5,000001.SS,2005-08-25,3,23.311419556594444,29.120712058599203,28.28341743843648,-5.809292502004759,-4.971997881842036
6,000001.SS,2005-10-24,3,18.37712151650309,24.610026280311352,25.05209177627793,-6.232904763808261,-6.674970259774838
7,000001.SS,2005-08-29,3,30.75915334763763,28.603795352881143,28.439301459019763,2.1553579947564856,2.3198518886178654
8,000001.SS,2005-08-29,3,30.75915334763763,28.603795352881143,28.439301459019763,2.1553579947564856,2.3198518886178654
9,000001.SS,2008-09-01,2,39.30013172743488,44.088299578542795,39.28764621354029,-4.788167851107914,0.012485513894588962
10,000001.SS,2014-07-04,2,15.273154775141187,18.795398692198734,19.680902787829,-3.5222439170575477,-4.407748012687815
11,000001.SS,1998-09-25,2,34.44588369371152,31.897784689097914,40.49029515454002,2.548099004613608,-6.044411460828499
12,000001.SS,1998-09-29,2,19.94828836482516,32.50731499974291,39.624688199970315,-12.55902663491775,-19.676399835145155
13,000001.SS,1998-08-27,2,20.906210364274653,35.28364496650863,22.60065368367691,-14.37743460223398,-1.6944433194022572
14,000001.SS,1999-09-16,2,22.681446328408928,27.4491584423855,26.69703403434876,-4.767712113976572,-4.015587705939833
15,000001.SS,1999-10-18,2,42.736505142209936,25.75159663292861,26.253162910430905,16.984908509281325,16.48334223177903
16,000001.SS,1999-08-23,3,21.03317877859474,27.59253455247356,36.29610247947729,-6.559355773878821,-15.262923700882553
17,000001.SS,1999-09-16,4,22.681446328408928,27.4491584423855,26.69703403434876,-4.767712113976572,-4.015587705939833
