,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA
0,^FTSE,2003-09-18,2,0.7047317190087966,1.033573549033704,1.105869046785987
1,^FTSE,2004-09-16,3,0.4149674971430581,0.6981099552350974,0.9258179792613167
2,^FTSE,2004-08-13,4,0.8666010790114016,1.0142046412977626,0.9475497603192331
3,^FTSE,2004-09-16,3,0.4149674971430581,0.6981099552350974,0.9258179792613167
4,^FTSE,2005-08-25,3,0.501717799790954,0.5842285199314174,0.887720578212369
5,^FTSE,2005-10-24,3,1.3526308415116894,0.8905975099153836,0.6580639936155681
6,^FTSE,2008-09-01,2,1.1203934474383983,1.8033264432471325,2.181575737243551
7,^FTSE,2014-07-04,2,0.2752740410434754,0.6807865090165106,0.637705042978947
8,^FTSE,2016-10-07,2,1.126473699510231,1.1936790257221517,1.0081030017275632
9,^FTSE,1984-09-13,2,0.2350579061438137,0.6131045444027738,0.8969203273135598
10,^FTSE,1985-09-02,3,0.3887323910245059,0.5744785005848841,0.8040985605331494
11,^FTSE,1985-11-21,2,1.1568012304006967,0.69271817945275,0.5173837338053984
12,^FTSE,1985-09-02,3,0.3887323910245059,0.5744785005848841,0.8040985605331494
13,^FTSE,1985-09-27,2,0.3518786476840812,0.6201508713657463,0.5307267196270633
14,^FTSE,1985-09-27,3,0.3518786476840812,0.6201508713657463,0.5307267196270633
15,^FTSE,1985-09-27,3,0.3518786476840812,0.6201508713657463,0.5307267196270633
16,^FTSE,1985-09-27,4,0.3518786476840812,0.6201508713657463,0.5307267196270633
17,^FTSE,1989-09-22,4,0.5219136477526275,0.7662090674893814,0.6316689881608873
18,^FTSE,1991-08-19,2,2.069948159566592,0.6439379707040118,0.7566721242178885
19,^FTSE,1991-08-19,2,2.069948159566592,0.6439379707040118,0.7566721242178885
20,^FTSE,1991-08-19,2,2.069948159566592,0.6439379707040118,0.7566721242178885
21,^FTSE,1991-08-19,3,2.069948159566592,0.6439379707040118,0.7566721242178885
22,^FTSE,1992-08-24,5,1.2154627588732745,1.0922783364709412,1.1883818964480317
23,^FTSE,1992-08-26,3,0.8277376086215156,1.1082356888389238,1.1462681414433176
24,^FTSE,1992-09-11,4,1.139850543457177,1.1684311108723027,1.1160223948754928
25,^FTSE,1993-08-31,3,0.5956501253541036,0.7624367733695521,0.6833943279441259
26,^FTSE,1995-08-03,2,0.7613082797746207,0.7308185578154403,0.9043778517521855
27,^FTSE,1995-10-04,3,0.5289638727812743,0.5538730821407212,0.5501265825538737
28,^FTSE,1996-07-12,2,0.8175738054923279,0.591469888214772,0.6059255323638593
29,^FTSE,1996-09-06,3,0.9342163912306078,0.5160379856549204,0.5924196712385094
30,^FTSE,1998-09-25,2,2.381583656031925,2.6324276992893743,2.2717102351490146
31,^FTSE,1998-09-29,2,1.3140080651223789,2.5106821321067208,2.318140592179061
32,^FTSE,1998-08-27,2,3.688971447351329,1.8867369113405772,1.4541553345127416
33,^FTSE,1999-09-16,2,1.1908699966920278,1.415863968467095,1.4698293264345306
34,^FTSE,1999-10-18,2,1.8623565410985359,1.6154025252705035,1.5448597299614941
35,^FTSE,1999-08-23,3,2.3059006277818086,1.536183164961076,1.4792126532501872
36,^FTSE,1999-09-16,4,1.1908699966920278,1.415863968467095,1.4698293264345306
0,^GSPC,2003-09-18,2,1.3950301747200045,1.023392250751377,1.1249858691448593
1,^GSPC,2004-09-16,3,0.5065871930588653,0.7962117056963448,1.038279237310635
2,^GSPC,2004-08-13,4,0.6446446072112396,1.1157196608533209,0.937511366946462
3,^GSPC,2004-09-16,3,0.5065871930588653,0.7962117056963448,1.038279237310635
4,^GSPC,2005-08-29,3,1.0555465612575359,0.784886259397318,0.6947223556363411
5,^GSPC,2005-08-25,3,0.3433363021847076,0.8010988068041591,0.7388074676773089
6,^GSPC,2005-10-24,3,1.6645830558207249,1.0682744438677925,0.7814807610890602
7,^GSPC,2005-08-29,3,1.0555465612575359,0.784886259397318,0.6947223556363411
8,^GSPC,2005-08-29,3,1.0555465612575359,0.784886259397318,0.6947223556363411
9,^GSPC,2016-10-07,2,0.9747818232306446,0.9191766126561645,0.7918695744016739
10,^GSPC,1954-10-15,2,0.0,0.0,0.0
11,^GSPC,1954-08-31,3,0.0,0.0,0.0
12,^GSPC,1954-08-31,2,0.0,0.0,0.0
13,^GSPC,1954-10-15,4,0.0,0.0,0.0
14,^GSPC,1954-08-31,3,0.0,0.0,0.0
15,^GSPC,1954-10-15,4,0.0,0.0,0.0
16,^GSPC,1954-08-31,3,0.0,0.0,0.0
17,^GSPC,1955-08-12,3,0.0,0.0,0.0
