,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA,MA Difference,TMA Difference
0,^GDAXI,2003-09-18,2,29.393642048451657,28.14535864069235,29.10794422249715,1.2482834077593061,0.2856978259545073
1,^GDAXI,2004-09-16,3,16.873078389203393,20.656403693050425,24.680219701213836,-3.7833253038470325,-7.807141312010444
2,^GDAXI,2004-08-13,4,22.110216225026196,24.946905761138538,21.842775866632547,-2.836689536112342,0.26744035839364955
3,^GDAXI,2004-09-16,3,16.873078389203393,20.656403693050425,24.680219701213836,-3.7833253038470325,-7.807141312010444
4,^GDAXI,2005-08-29,3,28.789978903066935,20.042192228000253,17.665872798621095,8.747786675066681,11.12410610444584
5,^GDAXI,2005-08-25,3,17.899981059146825,19.307506865955993,18.901878500956563,-1.4075258068091685,-1.0018974418097386
6,^GDAXI,2005-10-24,3,24.175882834996127,20.566605109509595,20.742367247723443,3.609277725486532,3.4335155872726837
7,^GDAXI,2005-08-29,3,28.789978903066935,20.042192228000253,17.665872798621095,8.747786675066681,11.12410610444584
8,^GDAXI,2005-08-29,3,28.789978903066935,20.042192228000253,17.665872798621095,8.747786675066681,11.12410610444584
9,^GDAXI,2008-09-01,2,26.869305298097075,26.955253168265706,29.320495364056313,-0.08594787016863137,-2.4511900659592385
10,^GDAXI,2014-07-04,2,12.336454177607068,17.608470827969967,17.622663820300293,-5.2720166503628985,-5.286209642693224
11,^GDAXI,2016-10-07,2,20.809528533971964,23.56609442754913,21.809855373439035,-2.756565893577168,-1.0003268394670712
21,^GDAXI,1995-08-03,2,18.67571556176092,18.528474387280635,19.830436224312145,0.1472411744802855,-1.1547206625512239
22,^GDAXI,1995-10-04,3,15.753208305707627,20.132400737251128,17.277657588464677,-4.379192431543501,-1.5244492827570504
23,^GDAXI,1996-07-12,2,16.159041611865064,16.979174047353148,17.65185609936681,-0.8201324354880839,-1.4928144875017466
24,^GDAXI,1996-09-06,3,20.945020429842415,16.592002672235598,17.584498995418354,4.353017757606818,3.3605214344240615
25,^GDAXI,1998-09-25,2,41.00793939357301,47.83101880350194,41.746823378847594,-6.82307940992893,-0.7388839852745832
26,^GDAXI,1998-09-29,2,31.574105573517734,45.92547664729493,42.83346305774373,-14.351371073777194,-11.259357484225994
27,^GDAXI,1998-08-27,2,56.81959466269465,34.5058197960572,26.278282906855154,22.313774866637445,30.541311755839494
28,^GDAXI,1999-09-16,2,21.98568782847016,26.236985531542338,28.69385942659192,-4.251297703072179,-6.708171598121762
29,^GDAXI,1999-10-18,2,26.317082470704612,27.002677492436355,25.997306091791707,-0.6855950217317428,0.31977637891290556
30,^GDAXI,1999-08-23,3,18.879594352553998,29.293112190090945,28.096627538736687,-10.413517837536947,-9.21703318618269
31,^GDAXI,1999-09-16,4,21.98568782847016,26.236985531542338,28.69385942659192,-4.251297703072179,-6.708171598121762
