United States Billion-Dollar Disasters By Year (CPI-Adjusted)
Cost values are in billions of dollars
Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.2,2.0,2.7,1.9,2.8,1.8,2.9,1,7.3,5.7,9.0,5.3,9.3,5.2,9.4,1,1.8,1.7,2.2,1.6,2.3,1.6,2.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,11.3,9.4,13.9,8.8,14.4,8.6,14.6
1991,1,6.1,6.1,7.9,5.8,8.3,5.7,8.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,1.2,1.4,1.1,1.6,1.1,1.7,1,3.1,2.6,3.6,2.4,3.7,2.3,3.9,1,6.7,5.3,7.6,5.0,8.1,4.6,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,17.2,15.2,20.5,14.3,21.7,13.7,22.7
1992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6.3,5.8,7.1,5.5,7.4,5.1,7.7,2,59.6,53.1,64.7,51.2,67.0,50.2,68.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.9,4.4,5.3,4.2,5.6,4.1,5.7,7,70.8,63.3,77.1,60.9,80.0,59.4,81.6
1993,1,2.4,2.4,2.9,2.3,3.0,2.3,3.1,1,40.2,28.5,38.3,26.7,40.2,25.5,41.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.0,1.2,0.9,1.4,0.8,1.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.6,1.9,2.8,1.8,2.9,1.8,3.0,1,10.6,9.8,11.3,9.6,11.6,9.0,12.2,5,57.0,43.6,56.5,41.3,59.1,39.4,61.1
1994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.9,2.7,1.8,2.8,1.7,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.7,1.9,1.6,2.0,1.5,2.1,1,1.9,1.6,2.2,1.5,2.3,1.5,2.3,1,1.4,1.2,1.6,1.1,1.7,1.0,1.9,2,7.5,6.5,8.1,6.3,8.4,6.1,8.6,6,14.5,12.9,16.5,12.3,17.2,11.8,17.9
1995,1,1.8,1.6,2.0,1.3,2.2,1.2,2.4,1,4.6,2.8,4.4,2.6,4.6,2.5,4.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,7.6,10.3,7.1,11.0,6.8,11.4,3,13.8,12.8,16.2,12.3,17.5,12.0,18.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,30.2,24.8,32.9,23.3,35.3,22.5,36.8
1996,1,3.2,3.1,4.2,2.9,4.4,2.8,4.6,1,1.8,1.7,2.4,1.6,2.5,1.5,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.9,8.1,10.5,7.6,11.0,7.3,11.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.3,4.3,5.8,4.1,6.1,4.0,6.3,4,19.2,17.2,22.9,16.2,24.0,15.6,24.8
1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11.5,10.7,15.6,10.0,16.3,9.3,17.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.6,1.8,1.5,2.0,1.4,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,13.2,12.3,17.4,11.5,18.3,10.7,19.2
1998,1,6.0,5.0,6.2,4.9,6.5,4.8,6.7,1,1.6,1.4,2.0,1.3,2.2,1.3,2.2,1,4.2,3.4,5.0,3.3,5.2,3.2,5.2,3,6.4,5.8,6.6,5.5,7.1,5.4,7.4,3,13.0,11.1,14.7,10.6,15.5,10.3,15.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,1.9,2.3,1.9,2.5,1.7,2.7,10,33.6,28.6,36.8,27.5,39.0,26.7,40.1
1999,1,4.2,3.8,4.4,3.7,4.6,3.7,4.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.4,2.9,3.6,2.8,3.8,2.6,4.0,1,10.8,9.5,11.8,9.1,12.3,8.9,12.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.2,3.1,3.7,2.8,4.0,2.7,4.4,5,21.6,19.3,23.5,18.4,24.7,17.9,25.6
