areaCode,areaName,areaType,date,cumCasesBySpecimenDate
K02000001,United Kingdom,overview,2021-06-01,4497446
K02000001,United Kingdom,overview,2021-05-31,4492211
K02000001,United Kingdom,overview,2021-05-30,4488431
K02000001,United Kingdom,overview,2021-05-29,4485335
K02000001,United Kingdom,overview,2021-05-28,4482403
K02000001,United Kingdom,overview,2021-05-27,4478911
K02000001,United Kingdom,overview,2021-05-26,4475272
K02000001,United Kingdom,overview,2021-05-25,4471472
K02000001,United Kingdom,overview,2021-05-24,4468164
K02000001,United Kingdom,overview,2021-05-23,4464927
K02000001,United Kingdom,overview,2021-05-22,4462685
K02000001,United Kingdom,overview,2021-05-21,4460759
K02000001,United Kingdom,overview,2021-05-20,4458464
K02000001,United Kingdom,overview,2021-05-19,4456039
K02000001,United Kingdom,overview,2021-05-18,4453327
K02000001,United Kingdom,overview,2021-05-17,4450618
K02000001,United Kingdom,overview,2021-05-16,4447853
K02000001,United Kingdom,overview,2021-05-15,4446000
K02000001,United Kingdom,overview,2021-05-14,4444417
K02000001,United Kingdom,overview,2021-05-13,4442566
K02000001,United Kingdom,overview,2021-05-12,4440470
K02000001,United Kingdom,overview,2021-05-11,4438239
K02000001,United Kingdom,overview,2021-05-10,4436039
K02000001,United Kingdom,overview,2021-05-09,4433382
K02000001,United Kingdom,overview,2021-05-08,4431210
K02000001,United Kingdom,overview,2021-05-07,4429700
K02000001,United Kingdom,overview,2021-05-06,4427817
K02000001,United Kingdom,overview,2021-05-05,4425650
K02000001,United Kingdom,overview,2021-05-04,4423254
K02000001,United Kingdom,overview,2021-05-03,4420849
K02000001,United Kingdom,overview,2021-05-02,4418876
K02000001,United Kingdom,overview,2021-05-01,4417451
K02000001,United Kingdom,overview,2021-04-30,4416094
K02000001,United Kingdom,overview,2021-04-29,4414390
K02000001,United Kingdom,overview,2021-04-28,4412305
K02000001,United Kingdom,overview,2021-04-27,4409944
K02000001,United Kingdom,overview,2021-04-26,4407886
K02000001,United Kingdom,overview,2021-04-25,4405442
K02000001,United Kingdom,overview,2021-04-24,4403449
K02000001,United Kingdom,overview,2021-04-23,4401985
K02000001,United Kingdom,overview,2021-04-22,4400094
K02000001,United Kingdom,overview,2021-04-21,4397840
K02000001,United Kingdom,overview,2021-04-20,4395297
K02000001,United Kingdom,overview,2021-04-19,4392932
K02000001,United Kingdom,overview,2021-04-18,4390330
K02000001,United Kingdom,overview,2021-04-17,4387891
K02000001,United Kingdom,overview,2021-04-16,4386253
K02000001,United Kingdom,overview,2021-04-15,4383900
K02000001,United Kingdom,overview,2021-04-14,4381712
K02000001,United Kingdom,overview,2021-04-13,4379308
K02000001,United Kingdom,overview,2021-04-12,4376976
K02000001,United Kingdom,overview,2021-04-11,4374262
K02000001,United Kingdom,overview,2021-04-10,4372005
K02000001,United Kingdom,overview,2021-04-09,4369746
K02000001,United Kingdom,overview,2021-04-08,4366960
K02000001,United Kingdom,overview,2021-04-07,4363977
K02000001,United Kingdom,overview,2021-04-06,4360896
K02000001,United Kingdom,overview,2021-04-05,4357779
K02000001,United Kingdom,overview,2021-04-04,4355163
K02000001,United Kingdom,overview,2021-04-03,4352869
K02000001,United Kingdom,overview,2021-04-02,4350466
K02000001,United Kingdom,overview,2021-04-01,4347839
K02000001,United Kingdom,overview,2021-03-31,4344370
K02000001,United Kingdom,overview,2021-03-30,4340597
K02000001,United Kingdom,overview,2021-03-29,4337002
K02000001,United Kingdom,overview,2021-03-28,4333034
K02000001,United Kingdom,overview,2021-03-27,4328377
K02000001,United Kingdom,overview,2021-03-26,4324836
K02000001,United Kingdom,overview,2021-03-25,4320446
K02000001,United Kingdom,overview,2021-03-24,4315044
K02000001,United Kingdom,overview,2021-03-23,4309029
K02000001,United Kingdom,overview,2021-03-22,4303770
K02000001,United Kingdom,overview,2021-03-21,4297567
K02000001,United Kingdom,overview,2021-03-20,4292334
K02000001,United Kingdom,overview,2021-03-19,4288232
K02000001,United Kingdom,overview,2021-03-18,4283235
K02000001,United Kingdom,overview,2021-03-17,4277757
K02000001,United Kingdom,overview,2021-03-16,4271986
K02000001,United Kingdom,overview,2021-03-15,4266312
K02000001,United Kingdom,overview,2021-03-14,4259809
K02000001,United Kingdom,overview,2021-03-13,4255508
K02000001,United Kingdom,overview,2021-03-12,4251263
K02000001,United Kingdom,overview,2021-03-11,4245674
K02000001,United Kingdom,overview,2021-03-10,4239904
K02000001,United Kingdom,overview,2021-03-09,4233867
K02000001,United Kingdom,overview,2021-03-08,4227640
K02000001,United Kingdom,overview,2021-03-07,4220997
K02000001,United Kingdom,overview,2021-03-06,4216713
K02000001,United Kingdom,overview,2021-03-05,4212209
K02000001,United Kingdom,overview,2021-03-04,4206908
K02000001,United Kingdom,overview,2021-03-03,4201182
K02000001,United Kingdom,overview,2021-03-02,4195209
K02000001,United Kingdom,overview,2021-03-01,4188555
K02000001,United Kingdom,overview,2021-02-28,4181679
K02000001,United Kingdom,overview,2021-02-27,4176964
K02000001,United Kingdom,overview,2021-02-26,4172148
K02000001,United Kingdom,overview,2021-02-25,4165581
K02000001,United Kingdom,overview,2021-02-24,4157861
K02000001,United Kingdom,overview,2021-02-23,4149317
K02000001,United Kingdom,overview,2021-02-22,4139937
K02000001,United Kingdom,overview,2021-02-21,4128697
K02000001,United Kingdom,overview,2021-02-20,4120829
K02000001,United Kingdom,overview,2021-02-19,4112776
K02000001,United Kingdom,overview,2021-02-18,4102394
K02000001,United Kingdom,overview,2021-02-17,4090984
K02000001,United Kingdom,overview,2021-02-16,4079424
K02000001,United Kingdom,overview,2021-02-15,4066940
K02000001,United Kingdom,overview,2021-02-14,4052673
K02000001,United Kingdom,overview,2021-02-13,4043921
K02000001,United Kingdom,overview,2021-02-12,4035163
K02000001,United Kingdom,overview,2021-02-11,4023002
K02000001,United Kingdom,overview,2021-02-10,4010265
K02000001,United Kingdom,overview,2021-02-09,3996786
K02000001,United Kingdom,overview,2021-02-08,3982989
K02000001,United Kingdom,overview,2021-02-07,3967285
K02000001,United Kingdom,overview,2021-02-06,3955912
K02000001,United Kingdom,overview,2021-02-05,3943955
K02000001,United Kingdom,overview,2021-02-04,3928111
K02000001,United Kingdom,overview,2021-02-03,3910156
K02000001,United Kingdom,overview,2021-02-02,3890764
K02000001,United Kingdom,overview,2021-02-01,3871014
K02000001,United Kingdom,overview,2021-01-31,3848686
K02000001,United Kingdom,overview,2021-01-30,3833317
K02000001,United Kingdom,overview,2021-01-29,3816650
K02000001,United Kingdom,overview,2021-01-28,3794884
K02000001,United Kingdom,overview,2021-01-27,3770754
K02000001,United Kingdom,overview,2021-01-26,3745086
K02000001,United Kingdom,overview,2021-01-25,3718120
K02000001,United Kingdom,overview,2021-01-24,3688220
K02000001,United Kingdom,overview,2021-01-23,3671067
K02000001,United Kingdom,overview,2021-01-22,3649248
K02000001,United Kingdom,overview,2021-01-21,3619730
K02000001,United Kingdom,overview,2021-01-20,3588081
K02000001,United Kingdom,overview,2021-01-19,3553019
K02000001,United Kingdom,overview,2021-01-18,3513566
K02000001,United Kingdom,overview,2021-01-17,3468807
K02000001,United Kingdom,overview,2021-01-16,3439966
K02000001,United Kingdom,overview,2021-01-15,3409447
K02000001,United Kingdom,overview,2021-01-14,3369069
K02000001,United Kingdom,overview,2021-01-13,3326701
K02000001,United Kingdom,overview,2021-01-12,3281309
K02000001,United Kingdom,overview,2021-01-11,3231940
K02000001,United Kingdom,overview,2021-01-10,3174843
K02000001,United Kingdom,overview,2021-01-09,3138516
K02000001,United Kingdom,overview,2021-01-08,3099436
K02000001,United Kingdom,overview,2021-01-07,3052458
K02000001,United Kingdom,overview,2021-01-06,3000503
K02000001,United Kingdom,overview,2021-01-05,2943128
K02000001,United Kingdom,overview,2021-01-04,2878049
