,Date,Hurricane Category,VIX,MA,Trail MA
0,2003-09-18,2,17.57,18.722857190476194,19.332857142857144
1,2004-09-16,3,14.39,14.91047614285714,16.849999904761905
2,2004-08-13,4,17.98,16.51428557142857,15.258571476190479
3,2004-09-16,3,14.39,14.91047614285714,16.849999904761905
4,2005-08-29,3,13.52,12.84190476190476,11.217142857142857
5,2005-08-25,3,13.73,12.529047619047617,11.133809523809527
6,2005-10-24,3,14.74,14.275714190476192,12.595238095238095
7,2005-08-29,3,13.52,12.84190476190476,11.217142857142857
8,2005-08-29,3,13.52,12.84190476190476,11.217142857142857
9,2016-10-07,2,13.48,14.391428476190475,13.803809428571428
10,1991-08-19,2,21.190001000000002,15.636190476190475,17.589047571428573
11,1991-08-19,2,21.190001000000002,15.636190476190475,17.589047571428573
12,1991-08-19,2,21.190001000000002,15.636190476190475,17.589047571428573
13,1991-08-19,3,21.190001000000002,15.636190476190475,17.589047571428573
14,1992-08-24,5,16.190001000000002,14.123809523809522,13.611904761904762
15,1992-08-26,3,14.5,14.34000004761905,13.454761904761906
16,1992-09-11,4,12.47,14.084761952380953,14.043809523809525
17,1993-08-31,3,11.85,11.932380952380953,11.504285714285716
18,1995-08-03,2,13.78,12.663333333333336,11.650952380952381
19,1995-10-04,3,14.86,12.3,12.096190476190477
20,1996-07-12,2,17.09,15.99619042857143,16.715714428571427
21,1996-09-06,3,17.1,15.957618952380951,17.914285857142858
22,1998-09-25,2,34.549999,38.54380966666667,32.911904428571425
23,1998-09-29,2,36.080002,38.530952523809525,34.14952357142857
24,1998-08-27,2,38.549999,29.198571333333337,22.03761885714286
25,1999-09-16,2,25.25,22.966666523809526,24.524285523809525
26,1999-10-18,2,28.190001000000002,24.890476047619046,24.205714428571426
27,1999-08-23,3,22.549999,24.79190466666667,21.32999985714286
28,1999-09-16,4,25.25,22.966666523809526,24.524285523809525
