,Symbol,Hurricane Date,Hurricane Category,Wills Volatility Measure,Volatility Measure MA,Volatility Measure Trailing MA,MA Difference,TMA Difference
0,^DJI,2003-09-18,2,22.974198333461075,19.994857904432966,21.02210024492749,2.9793404290281096,1.9520980885335852
1,^DJI,2004-09-16,3,15.191505197504403,18.207394112756106,20.680947953285084,-3.0158889152517023,-5.489442755780681
2,^DJI,2004-08-13,4,17.231567801393147,21.058984648458292,19.564128872532184,-3.8274168470651446,-2.332561071139036
3,^DJI,2004-09-16,3,15.191505197504403,18.207394112756106,20.680947953285084,-3.0158889152517023,-5.489442755780681
4,^DJI,2005-08-29,3,23.258217960341568,18.339574655111125,17.075023294037592,4.918643305230443,6.183194666303976
5,^DJI,2005-08-25,3,13.543700490237295,18.532874242168976,17.82393020694193,-4.989173751931681,-4.2802297167046355
6,^DJI,2005-10-24,3,26.58872330648271,20.292559171359425,18.568124060257006,6.296164135123284,8.020599246225704
7,^DJI,2005-08-29,3,23.258217960341568,18.339574655111125,17.075023294037592,4.918643305230443,6.183194666303976
8,^DJI,2005-08-29,3,23.258217960341568,18.339574655111125,17.075023294037592,4.918643305230443,6.183194666303976
9,^DJI,2016-10-07,2,19.343852875367613,19.607158960013734,17.781493483354833,-0.26330608464612126,1.5623593920127803
10,^DJI,1992-08-24,5,19.590670554639164,18.41238249957384,19.09972947377225,1.1782880550653232,0.49094108086691435
11,^DJI,1992-08-26,3,17.591692420334546,18.7371704463537,18.6368703052065,-1.1454780260191555,-1.0451778848719542
12,^DJI,1992-09-11,4,14.980230178680936,18.040773818757028,17.76025085478044,-3.0605436400760926,-2.7800206760995056
13,^DJI,1993-08-31,3,14.922647486298432,16.031939899423328,17.144474123299254,-1.109292413124896,-2.221826637000822
14,^DJI,1995-08-03,2,21.14783005193555,20.357712043387842,18.20776162177255,0.790118008547708,2.9400684301629987
15,^DJI,1995-10-04,3,14.803443747549679,18.294665769359938,16.973470556626914,-3.491222021810259,-2.1700268090772354
16,^DJI,1996-07-12,2,23.011902168022342,19.54219253862451,19.864914900049275,3.4697096293978333,3.146987267973067
17,^DJI,1996-09-06,3,23.370938286140262,18.0277879839298,21.257484012539173,5.343150302210461,2.1134542736010893
18,^DJI,1998-09-25,2,34.592440848150055,42.43748109552281,34.879884763381874,-7.845040247372758,-0.2874439152318189
19,^DJI,1998-09-29,2,26.691627147918272,41.63145874314655,37.42552667983533,-14.93983159522828,-10.733899531917057
20,^DJI,1998-08-27,2,52.45872361227696,28.790280167172714,26.22905463069468,23.66844344510425,26.229668981582282
21,^DJI,1999-09-16,2,26.1113051240098,23.608784157777016,23.947563306656935,2.502520966232783,2.1637418173528644
22,^DJI,1999-10-18,2,25.11844700601452,26.66332787221358,24.493198611332932,-1.5448808661990583,0.6252483946815879
23,^DJI,1999-08-23,3,28.00885164881449,23.578460572830707,21.510985791461174,4.430391075983781,6.497865857353315
24,^DJI,1999-09-16,4,26.1113051240098,23.608784157777016,23.947563306656935,2.502520966232783,2.1637418173528644
