,State Name,Name,Saffir-Simpson Category,Date of closest approach,Year
116,Texas,Unnamed,2,"Oct 16, 1912",1912
117,Louisiana,Unnamed,3,"Sep 29, 1915",1915
118,Mississippi,Unnamed,2,"Sep 29, 1915",1915
119,Texas,Unnamed,4,"Aug 17, 1915",1915
120,Alabama,Unnamed,2,"Jul 5, 1916",1916
121,Alabama,Unnamed,2,"Oct 18, 1916",1916
122,Florida,Unnamed,2,"Jul 5, 1916",1916
123,Florida,Unnamed,2,"Oct 18, 1916",1916
124,Mississippi,Unnamed,3,"Jul 6, 1916",1916
125,South Carolina,Unnamed,2,"Jul 14, 1916",1916
126,Texas,Unnamed,4,"Aug 18, 1916",1916
127,Florida,Unnamed,3,"Sep 29, 1917",1917
128,Louisiana,Unnamed,2,"Sep 29, 1917",1917
129,Louisiana,Unnamed,3,"Aug 7, 1918",1918
130,Florida,Unnamed,4,"Sep 10, 1919",1919
131,Texas,Unnamed,3,"Sep 14, 1919",1919
132,Louisiana,Unnamed,2,"Sep 21, 1920",1920
133,Florida,Unnamed,3,"Oct 25, 1921",1921
134,Alabama,Unnamed,3,"Aug 21, 1926",1926
135,Florida,Unnamed,2,"Jul 27, 1926",1926
136,Florida,Unnamed,4,"Sep 18, 1926",1926
137,Louisiana,Unnamed,3,"Aug 26, 1926",1926
138,Florida,Unnamed,2,"Aug 8, 1928",1928
139,Florida,Unnamed,4,"Sep 17, 1928",1928
140,Florida,Unnamed,3,"Sep 28, 1929",1929
141,Texas,Unnamed,4,"Aug 14, 1932",1932
142,Florida,Unnamed,3,"Sep 4, 1933",1933
143,Texas,Unnamed,2,"Aug 7, 1933",1933
144,Texas,Unnamed,3,"Sep 5, 1933",1933
145,Louisiana,Unnamed,2,"Jun 16, 1934",1934
146,Texas,Unnamed,2,"Jul 25, 1934",1934
147,Florida,Unnamed,5,"Sep 3, 1935",1935
148,Florida,Unnamed,2,"Nov 4, 1935",1935
149,Florida,Unnamed,2,"Jul 31, 1936",1936
150,Massachusetts,Unnamed,3,"Sep 21, 1938",1938
151,New York,Unnamed,3,"Sep 21, 1938",1938
152,Rhode Island,Unnamed,3,"Sep 21, 1938",1938
153,Connecticut,1938 New England hurricane,5,"Sep 21, 1938",1938
154,Louisiana,Unnamed,2,"Aug 7, 1940",1940
155,South Carolina,Unnamed,2,"Aug 11, 1940",1940
156,Texas,Unnamed,2,"Aug 8, 1940",1940
157,Florida,Unnamed,2,"Oct 6, 1941",1941
158,Texas,Unnamed,3,"Sep 23, 1941",1941
159,Texas,Unnamed,3,"Aug 30, 1942",1942
160,Texas,Unnamed,2,"Jul 27, 1943",1943
161,Florida,Unnamed,3,"Oct 19, 1944",1944
162,New York,Unnamed,2,"Sep 15, 1944",1944
163,North Carolina,Unnamed,2,"Sep 14, 1944",1944
164,Rhode Island,Unnamed,2,"Sep 15, 1944",1944
165,Virginia,Unnamed,2,"Sep 14, 1944",1944
166,Connecticut,1944 Great Atlantic Hurricane,4,"Sep 15, 1944",1944
167,Florida,Unnamed,3,"Sep 15, 1945",1945
168,Texas,Unnamed,2,"Aug 27, 1945",1945
169,Florida,Unnamed,4,"Sep 17, 1947",1947
170,Georgia,Unnamed,2,"Oct 15, 1947",1947
171,Louisiana,Unnamed,2,"Sep 19, 1947",1947
172,Mississippi,Unnamed,2,"Sep 19, 1947",1947
173,South Carolina,Unnamed,2,"Oct 15, 1947",1947
174,Florida,Unnamed,4,"Sep 21, 1948",1948
175,Florida,Unnamed,2,"Oct 5, 1948",1948
176,Florida,Unnamed,4,"Aug 26, 1949",1949
177,Texas,Unnamed,2,"Oct 4, 1949",1949
178,Florida,Easy,3,"Sep 5, 1950",1950
179,Florida,King,4,"Oct 18, 1950",1950
181,Florida,Unnamed,3,"Aug 23, 1851",1851
182,Alabama,Unnamed,3,"Aug 26, 1852",1852
183,Florida,Unnamed,2,"Oct 9, 1852",1852
184,Louisiana,Unnamed,2,"Aug 25, 1852",1852
