Date,Close,Name
2020-12-15,0.07000000029802322,^IRX
2020-12-16,0.07500000298023224,^IRX
2020-12-17,0.07999999821186066,^IRX
2020-12-18,0.07999999821186066,^IRX
2020-12-21,0.07800000160932541,^IRX
2020-12-22,0.07800000160932541,^IRX
2020-12-23,0.07500000298023224,^IRX
2020-12-24,0.07500000298023224,^IRX
2020-12-28,0.07999999821186066,^IRX
2020-12-29,0.09000000357627869,^IRX
2020-12-30,0.07000000029802322,^IRX
2020-12-31,0.06499999761581421,^IRX
2021-01-04,0.06800000369548798,^IRX
2021-01-05,0.07800000160932541,^IRX
2021-01-06,0.07800000160932541,^IRX
2021-01-07,0.07999999821186066,^IRX
2021-01-08,0.07999999821186066,^IRX
2021-01-11,0.07999999821186066,^IRX
2021-01-12,0.07999999821186066,^IRX
2021-01-13,0.07999999821186066,^IRX
2021-01-14,0.07500000298023224,^IRX
2021-01-15,0.07500000298023224,^IRX
2021-01-19,0.0729999989271164,^IRX
2021-01-20,0.07500000298023224,^IRX
2021-01-21,0.0729999989271164,^IRX
2021-01-22,0.07000000029802322,^IRX
2021-01-25,0.07000000029802322,^IRX
2021-01-26,0.06800000369548798,^IRX
2021-01-27,0.05999999865889549,^IRX
2021-01-28,0.054999999701976776,^IRX
2021-01-29,0.04800000041723251,^IRX
2021-02-01,0.04800000041723251,^IRX
2021-02-02,0.05000000074505806,^IRX
2021-02-03,0.03999999910593033,^IRX
2021-02-04,0.029999999329447746,^IRX
2021-02-05,0.023000000044703484,^IRX
2021-02-08,0.019999999552965164,^IRX
2021-02-09,0.032999999821186066,^IRX
2021-02-10,0.03500000014901161,^IRX
2021-02-11,0.03500000014901161,^IRX
2021-02-12,0.03500000014901161,^IRX
2021-02-16,0.03500000014901161,^IRX
2021-02-17,0.03500000014901161,^IRX
2021-02-18,0.023000000044703484,^IRX
2021-02-19,0.023000000044703484,^IRX
2021-02-22,0.02500000037252903,^IRX
2021-02-23,0.023000000044703484,^IRX
2021-02-24,0.02800000086426735,^IRX
2021-02-25,0.032999999821186066,^IRX
2021-02-26,0.03500000014901161,^IRX
2021-03-01,0.02800000086426735,^IRX
2021-03-02,0.03500000014901161,^IRX
2021-03-03,0.03500000014901161,^IRX
2021-03-04,0.02800000086426735,^IRX
2021-03-05,0.02800000086426735,^IRX
2021-03-08,0.03500000014901161,^IRX
2021-03-09,0.03500000014901161,^IRX
2021-03-10,0.029999999329447746,^IRX
