,Symbol,Hurricane Date,Wills Volatility Measure,Mean volatility on this day other years
0,^RUA,2003-09-18,23.36058582805191,24.840561385415963
1,^RUA,2004-09-16,15.923000608524832,21.869843054537625
2,^RUA,2004-08-13,16.94103955706153,20.408109568284747
3,^RUA,2004-09-16,15.923000608524832,21.869843054537625
4,^RUA,2005-08-29,20.77419707169239,20.80087248240517
5,^RUA,2005-08-25,13.424703021043403,21.364415549345612
6,^RUA,2005-10-24,27.051795089102868,24.446744938957693
7,^RUA,2005-08-29,20.77419707169239,20.80087248240517
8,^RUA,2005-08-29,20.77419707169239,20.80087248240517
9,^RUA,2016-10-07,19.931641679519426,25.05690420235875
10,^RUA,1989-09-22,14.238920506427679,23.98061889190945
11,^RUA,1991-08-19,42.72640349555794,20.808479968729976
12,^RUA,1991-08-19,42.72640349555794,20.808479968729976
13,^RUA,1991-08-19,42.72640349555794,20.808479968729976
14,^RUA,1991-08-19,42.72640349555794,20.808479968729976
15,^RUA,1992-08-24,22.426603371925047,22.094496875667232
16,^RUA,1992-08-26,16.749437656892276,22.025797318005964
17,^RUA,1992-09-11,12.922191387638962,22.072372878352684
18,^RUA,1993-08-31,14.759632823750104,22.276698935917874
19,^RUA,1995-08-03,18.471062421627735,21.675373498799967
20,^RUA,1995-10-04,15.763118551197762,23.6975226886508
21,^RUA,1996-07-12,20.86733739373951,20.180152271123266
22,^RUA,1996-09-06,22.76144176546833,21.51317878695532
23,^RUA,1998-09-25,30.03370729281528,22.19035560340963
24,^RUA,1998-09-29,23.65230575603979,23.59880143412089
25,^RUA,1998-08-27,54.21908100879114,21.969725982849887
26,^RUA,1999-09-16,25.93090899910479,21.45284687159679
27,^RUA,1999-10-18,25.87130974034577,21.515755868827906
28,^RUA,1999-08-23,26.824300791994855,21.7550020119473
29,^RUA,1999-09-16,25.93090899910479,21.45284687159679
