,Symbol,Hurricane Date,Wills Volatility Measure,Mean volatility on this day other years
0,^DJI,2003-09-18,22.974198333461075,24.167899006769446
1,^DJI,2004-09-16,15.191505197504403,22.387179193072015
2,^DJI,2004-08-13,17.231567801393147,21.636323478278126
3,^DJI,2004-09-16,15.191505197504403,22.387179193072015
4,^DJI,2005-08-29,23.258217960341568,20.890675397397125
5,^DJI,2005-08-25,13.543700490237295,22.03507765499445
6,^DJI,2005-10-24,26.58872330648271,25.692535179462304
7,^DJI,2005-08-29,23.258217960341568,20.890675397397125
8,^DJI,2005-08-29,23.258217960341568,20.890675397397125
9,^DJI,2016-10-07,19.343852875367613,25.269482700475344
10,^DJI,1992-08-24,19.590670554639164,23.51921412627469
11,^DJI,1992-08-26,17.591692420334546,23.003859005295897
12,^DJI,1992-09-11,14.980230178680936,22.8952825290176
13,^DJI,1993-08-31,14.922647486298432,22.970981075763174
14,^DJI,1995-08-03,21.14783005193555,19.72041316021729
15,^DJI,1995-10-04,14.803443747549679,23.717177535863605
16,^DJI,1996-07-12,23.011902168022342,20.518993709191093
17,^DJI,1996-09-06,23.370938286140262,21.810323928344747
18,^DJI,1998-09-25,34.592440848150055,23.07650187771824
19,^DJI,1998-09-29,26.691627147918272,23.341314266849913
20,^DJI,1998-08-27,52.45872361227696,20.69088341613739
21,^DJI,1999-09-16,26.1113051240098,21.86718872038128
22,^DJI,1999-10-18,25.11844700601452,21.842410591806164
23,^DJI,1999-08-23,28.00885164881449,20.85014528422548
24,^DJI,1999-09-16,26.1113051240098,21.86718872038128
