,Symbol,Hurricane Date,Wills Volatility Measure,Mean volatility on this day other years
18,Dow Jones 30,1998-09-25,34.592440848150055,23.07650187771824
19,Dow Jones 30,1998-09-29,26.691627147918272,23.341314266849913
20,Dow Jones 30,1998-08-27,52.45872361227696,20.69088341613739
21,Dow Jones 30,1999-09-16,26.1113051240098,21.86718872038128
22,Dow Jones 30,1999-10-18,25.11844700601452,21.842410591806164
23,Dow Jones 30,1999-08-23,28.00885164881449,20.85014528422548
24,Dow Jones 30,1999-09-16,26.1113051240098,21.86718872038128
0,Nasdaq,2003-09-18,29.13436097290116,20.997649883627755
1,Nasdaq,2004-09-16,18.40341569175045,18.43149311718665
2,Nasdaq,2004-08-13,20.120933009898188,18.647023781745656
3,Nasdaq,2004-09-16,18.40341569175045,18.43149311718665
4,Nasdaq,2005-08-29,22.771466591726398,17.829152624390865
5,Nasdaq,2005-08-25,14.217511183314835,18.180720489817077
6,Nasdaq,2005-10-24,25.190936546548187,21.363284607334148
7,Nasdaq,2005-08-29,22.771466591726398,17.829152624390865
8,Nasdaq,2005-08-29,22.771466591726398,17.829152624390865
9,Nasdaq,2016-10-07,19.23228534198329,20.271850980339355
19,Nasdaq,1985-11-21,17.46385798644986,20.034692714143482
20,Nasdaq,1989-09-22,13.63755683070368,19.95792580372597
21,Nasdaq,1991-08-19,46.06676048298278,18.59714757848001
22,Nasdaq,1991-08-19,46.06676048298278,18.59714757848001
23,Nasdaq,1991-08-19,46.06676048298278,18.59714757848001
24,Nasdaq,1991-08-19,46.06676048298278,18.59714757848001
25,Nasdaq,1992-08-24,22.445962412688544,20.631750704608603
26,Nasdaq,1992-08-26,17.37898769204402,18.75897791415882
27,Nasdaq,1992-09-11,14.547953740298624,20.79522861869565
28,Nasdaq,1993-08-31,16.062106846652114,19.61703966134543
29,Nasdaq,1995-08-03,22.45782100125598,20.322296502699587
30,Nasdaq,1995-10-04,25.187572561919502,20.682600980266788
31,Nasdaq,1996-07-12,26.272062788209833,17.789531140570762
32,Nasdaq,1996-09-06,21.275986154123927,18.386128199915394
33,Nasdaq,1998-09-25,36.975066366886175,21.457784677990816
34,Nasdaq,1998-09-29,27.37728565896036,20.697996928440595
35,Nasdaq,1998-08-27,50.12016121083528,18.877378369517288
36,Nasdaq,1999-09-16,33.24244862508461,18.007520747662824
37,Nasdaq,1999-10-18,46.72913024475524,20.134062560479194
38,Nasdaq,1999-08-23,36.667896410961255,19.1486774044896
39,Nasdaq,1999-09-16,33.24244862508461,18.007520747662824
0,Russel 2000,2003-09-18,22.142963486178424,24.67250837236596
1,Russel 2000,2004-09-16,21.630385116335077,21.62579669809699
2,Russel 2000,2004-08-13,19.913695298049202,21.393988931725584
3,Russel 2000,2004-09-16,21.630385116335077,21.62579669809699
4,Russel 2000,2005-08-29,25.284081414806828,21.04871462495958
5,Russel 2000,2005-08-25,16.27044394449586,21.71177987777344
6,Russel 2000,2005-10-24,31.68321792442199,22.934878840139522
7,Russel 2000,2005-08-29,25.284081414806828,21.04871462495958
8,Russel 2000,2005-08-29,25.284081414806828,21.04871462495958
9,Russel 2000,2016-10-07,23.0943438631269,25.651354237968608
10,Russel 2000,1989-09-22,13.002230539566536,24.9732584735784
11,Russel 2000,1991-08-19,54.514925685766194,21.65690150697112
12,Russel 2000,1991-08-19,54.514925685766194,21.65690150697112
13,Russel 2000,1991-08-19,54.514925685766194,21.65690150697112
14,Russel 2000,1991-08-19,54.514925685766194,21.65690150697112
15,Russel 2000,1992-08-24,23.885182486025382,21.829141113031888
16,Russel 2000,1992-08-26,13.583740417346725,23.20277425143627
17,Russel 2000,1992-09-11,13.585373398692386,21.65635077171493
18,Russel 2000,1993-08-31,15.499056313256698,22.153455095797643
19,Russel 2000,1995-08-03,18.83581280945852,25.751707654418354
20,Russel 2000,1995-10-04,20.81470723881704,24.333624310940067
21,Russel 2000,1996-07-12,17.595379566159092,21.74492307344768
22,Russel 2000,1996-09-06,17.541076946986088,22.135879064146184
23,Russel 2000,1998-09-25,20.152533212449327,22.394039746490087
24,Russel 2000,1998-09-29,21.957751455498233,22.880222975720248
25,Russel 2000,1998-08-27,54.9115661591627,24.42298421894837
26,Russel 2000,1999-09-16,26.906499996722477,21.405958578080853
27,Russel 2000,1999-10-18,30.50960580073353,21.510012532770702
28,Russel 2000,1999-08-23,16.631065567821445,24.53569546594429
29,Russel 2000,1999-09-16,26.906499996722477,21.405958578080853
0,Russel 3000,2003-09-18,23.36058582805191,24.840561385415963
1,Russel 3000,2004-09-16,15.923000608524832,21.869843054537625
2,Russel 3000,2004-08-13,16.94103955706153,20.408109568284747
3,Russel 3000,2004-09-16,15.923000608524832,21.869843054537625
4,Russel 3000,2005-08-29,20.77419707169239,20.80087248240517
5,Russel 3000,2005-08-25,13.424703021043403,21.364415549345612
6,Russel 3000,2005-10-24,27.051795089102868,24.446744938957693
7,Russel 3000,2005-08-29,20.77419707169239,20.80087248240517
8,Russel 3000,2005-08-29,20.77419707169239,20.80087248240517
9,Russel 3000,2016-10-07,19.931641679519426,25.05690420235875
10,Russel 3000,1989-09-22,14.238920506427679,23.98061889190945
11,Russel 3000,1991-08-19,42.72640349555794,20.808479968729976
12,Russel 3000,1991-08-19,42.72640349555794,20.808479968729976
13,Russel 3000,1991-08-19,42.72640349555794,20.808479968729976
14,Russel 3000,1991-08-19,42.72640349555794,20.808479968729976
15,Russel 3000,1992-08-24,22.426603371925047,22.094496875667232
16,Russel 3000,1992-08-26,16.749437656892276,22.025797318005964
17,Russel 3000,1992-09-11,12.922191387638962,22.072372878352684
18,Russel 3000,1993-08-31,14.759632823750104,22.276698935917874
19,Russel 3000,1995-08-03,18.471062421627735,21.675373498799967
20,Russel 3000,1995-10-04,15.763118551197762,23.6975226886508
21,Russel 3000,1996-07-12,20.86733739373951,20.180152271123266
22,Russel 3000,1996-09-06,22.76144176546833,21.51317878695532
23,Russel 3000,1998-09-25,30.03370729281528,22.19035560340963
24,Russel 3000,1998-09-29,23.65230575603979,23.59880143412089
25,Russel 3000,1998-08-27,54.21908100879114,21.969725982849887
26,Russel 3000,1999-09-16,25.93090899910479,21.45284687159679
27,Russel 3000,1999-10-18,25.87130974034577,21.515755868827906
28,Russel 3000,1999-08-23,26.824300791994855,21.7550020119473
29,Russel 3000,1999-09-16,25.93090899910479,21.45284687159679
